flightno,origin,dest,scheddep,actualdep,delaymin,cause,season,hour
CA1501,PEK,SHA,800,805,5,NONE,SPRING,8
CA1502,PEK,CAN,810,850,40,WEATHER,SPRING,8
MU5102,PEK,SZX,820,822,2,NONE,SPRING,8
CZ3908,PEK,CTU,835,930,55,ATC,SUMMER,8
HU7602,PEK,XIY,845,845,0,NONE,SUMMER,8
CA1837,PEK,HGH,905,1010,65,WEATHER,SUMMER,9
MU2108,SHA,PEK,910,918,8,CREW,SUMMER,9
CZ6188,CAN,PEK,930,1035,65,ATC,AUTUMN,9
MU5188,SHA,CAN,1005,1007,2,NONE,AUTUMN,10
CA4102,CTU,PEK,1015,1105,50,CREW,AUTUMN,10
HU7188,XIY,SHA,1030,1042,12,NONE,WINTER,10
CZ3456,SZX,PEK,1105,1230,85,WEATHER,WINTER,11
MU9001,PEK,SHA,1110,1120,10,CREW,WINTER,11
CA9002,CAN,SZX,1140,1145,5,NONE,WINTER,11
